"Story","Title","Result","Date","Stability","Duration (s)"
"As a user i can success login so that i can see main page","as user i want to input invalid email then get error message","SUCCESS","2023-05-08T20:27:13.141+07:00[Asia/Bangkok]","0.0","8.66"
"As a user i can success login so that i can see main page","as user i want to input empty email then get error message","SUCCESS","2023-05-08T20:27:22.6+07:00[Asia/Bangkok]","0.0","9.64"
"As a user i can success login so that i can see main page","as user i want to input empty password then get error message","SUCCESS","2023-05-08T20:27:33.018+07:00[Asia/Bangkok]","0.0","7.18"
